OpeningId,Type,PeculiarType,HouseId,BiggerAreaRoom,PassingStandingBiggerRoom,BiggerAreaRoomType,Facing,Bigger Area RoomM2,SmallerAreaRoom,PassingStandingSmallerRoom,SmallerAreaRoomType,SmallerAreaRoomM2,Width,Height,Length,LevelOfPreservation,IdThresholdSill,IdLintel,Floor,DistancefromGround,FrameTrace,LintelType,HouseType,Date,Period,Town,DataMethod,TotalSquareMeter,IdThresholdSill:1,ThresholdSillLength,ThresholdSillWidth,ThresholdSillThickness,ThresholdSillMaterial,ThresholdSillType,ThresholdSillDoorstopWidth,ThresholdSillTenonHoleNumber,ThresholdSillHingeHoleNumber,ThresholdSillBoltHoleNumber,ThresholdSillShutterErosion,ThresholdSillFoldingDoorChannel
914,DOORWAY,NO,CASE A GIARDINO APP 10 1,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,90.73,RECEPTION ROOM,STANDING,PUBLIC ROOM,54.42,170,212,45,4,,,G,,YES,E,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
915,WINDOW,NO,CASE A GIARDINO APP 10 1,STREET,PASSING,OPEN SPACES,OUTSIDE,,RECEPTION ROOM,STANDING,PUBLIC ROOM,54.42,120,194,60,4,,,G,158,NO,E,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
916,WINDOW,NO,CASE A GIARDINO APP 10 1,STREET,PASSING,OPEN SPACES,OUTSIDE,,RECEPTION ROOM,STANDING,PUBLIC ROOM,54.42,121,194,60,4,,,G,158,NO,E,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
917,WINDOW,NO,CASE A GIARDINO APP 10 1,STREET,PASSING,OPEN SPACES,OUTSIDE,,RECEPTION ROOM,STANDING,PUBLIC ROOM,54.42,114,194,60,4,,,G,158,NO,E,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
918,WINDOW,NO,CASE A GIARDINO APP 10 1,STREET,PASSING,OPEN SPACES,OUTSIDE,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,141,,60,2,,,G,172,NO,,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
919,WINDOW,NO,CASE A GIARDINO APP 10 1,STREET,PASSING,OPEN SPACES,OUTSIDE,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,138,,60,2,,,G,167,NO,,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
920,WINDOW,NO,CASE A GIARDINO APP 10 1,STREET,PASSING,OPEN SPACES,OUTSIDE,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,137,,60,2,,,G,175,NO,,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
921,WINDOW,NO,CASE A GIARDINO APP 10 1,STREET,PASSING,OPEN SPACES,OUTSIDE,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,135,,60,2,,,G,173,NO,,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
922,WINDOW,NO,CASE A GIARDINO APP 10 1,STREET,PASSING,OPEN SPACES,OUTSIDE,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,138,,60,2,,,G,171,NO,,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
923,WINDOW,NO,CASE A GIARDINO APP 10 1,STREET,PASSING,OPEN SPACES,OUTSIDE,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,138,,60,2,,,G,171,NO,,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
924,DOORWAY,NO,CASE A GIARDINO APP 10 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,CORRIDOR,PASSING,PUBLIC ROOM,19.54,148,249,59,5,T0924,,G,,NO,E,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,T0924,56,148,10,LIMESTONE,D,10,0,3,1,NO,NO
925,DOORWAY,NO,CASE A GIARDINO APP 10 2,CORRIDOR,PASSING,PUBLIC ROOM,OUTSIDE,19.54,STAIRWAY,PASSING,SERVICE ROOM,6.32,118,,45,2,,,G,,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
926,DOORWAY,NO,CASE A GIARDINO APP 10 2,CORRIDOR,PASSING,PUBLIC ROOM,INSIDE,19.54,CUBICULUM,STANDING,PRIVATE ROOM,16.82,133,,45,3,T0926,,G,,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,T0926,52,133,17,LIMESTONE,C,0,0,2,0,NO,NO
927,DOORWAY,NO,CASE A GIARDINO APP 10 2,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,16.82,UNDERSTAIRS,STANDING,SERVICE ROOM,6.32,120,,45,3,T0927,,G,,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,T0927,58,120,8,LIMESTONE,C,0,0,2,0,NO,NO
928,WINDOW,NO,CASE A GIARDINO APP 10 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,UNDERSTAIRS,STANDING,SERVICE ROOM,6.32,89,117,59,4,,,G,132,NO,E,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
929,WINDOW,NO,CASE A GIARDINO APP 10 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,CUBICULUM,STANDING,PRIVATE ROOM,16.82,119,,45,2,,,G,159,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
930,DOORWAY,NO,CASE A GIARDINO APP 10 2,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,25.48,CUBICULUM,STANDING,PRIVATE ROOM,16.82,102,,60,4,,,G,,NO,A,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
931,DOORWAY,NO,CASE A GIARDINO APP 10 2,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,21.82,CORRIDOR,PASSING,PUBLIC ROOM,19.54,94,167,45,4,,,G,,NO,B,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
932,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,90.73,RECEPTION ROOM,STANDING,PUBLIC ROOM,21.82,102,228,44,4,,,G,,NO,E,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
933,WINDOW,NO,CASE A GIARDINO APP 10 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,RECEPTION ROOM,STANDING,PUBLIC ROOM,21.82,148,187,59,4,,,G,167,NO,E,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
934,DOORWAY,NO,CASE A GIARDINO APP 10 2,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,25.48,CORRIDOR,PASSING,PUBLIC ROOM,19.54,237,,44,2,,,G,,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
935,DOORWAY,NO,CASE A GIARDINO APP 10 2,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,36.81,CUBICULUM,STANDING,PRIVATE ROOM,25.48,105,,45,2,,,G,,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
936,WINDOW,NO,CASE A GIARDINO APP 10 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,CUBICULUM,STANDING,PRIVATE ROOM,25.48,146,,57,2,,,G,175,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
937,DOORWAY,NO,CASE A GIARDINO APP 10 2,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,36.81,CORRIDOR,PASSING,PUBLIC ROOM,19.54,133,,45,2,,,G,,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
938,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,90.73,CUBICULUM,STANDING,PRIVATE ROOM,36.81,245,,44,2,,,G,,YES,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
939,DOORWAY,NO,CASE A GIARDINO APP 10 2,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,36.99,CUBICULUM,STANDING,PRIVATE ROOM,36.81,72,,45,2,,,G,,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
940,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,90.73,CUBICULUM,STANDING,PRIVATE ROOM,36.99,156,,45,2,,,G,,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
941,DOORWAY,NO,CASE A GIARDINO APP 10 2,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,36.99,TABERNA,STANDING,PUBLIC ROOM,36.29,148,,45,2,,,G,,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
942,WINDOW,NO,CASE A GIARDINO APP 10 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,CUBICULUM,STANDING,PRIVATE ROOM,36.99,144,,59,2,,,G,175,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
943,DOORWAY,NO,CASE A GIARDINO APP 10 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,TABERNA,STANDING,PUBLIC ROOM,36.29,280,,60,3,T0911,,G,,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,T0911,60,280,28,LIMESTONE,F,85,0,1,0,NO,YES
944,DOORWAY,NO,CASE A GIARDINO APP 10 2,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,54.42,TABERNA,STANDING,PUBLIC ROOM,36.29,116,226,45,4,,,G,,YES,E,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
945,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,90.73,RECEPTION ROOM,STANDING,PUBLIC ROOM,54.42,117,,45,2,,,G,,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
946,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM,PASSING,PUBLIC ROOM,INSIDE,90.73,RECEPTION ROOM,STANDING,PUBLIC ROOM,54.42,148,212,45,4,,,G,,YES,E,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
947,WINDOW,NO,CASE A GIARDINO APP 10 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,RECEPTION ROOM,STANDING,PUBLIC ROOM,54.42,120,194,60,4,,,G,158,NO,E,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
948,WINDOW,NO,CASE A GIARDINO APP 10 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,RECEPTION ROOM,STANDING,PUBLIC ROOM,54.42,121,194,60,4,,,G,158,NO,E,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
949,WINDOW,NO,CASE A GIARDINO APP 10 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,RECEPTION ROOM,STANDING,PUBLIC ROOM,54.42,114,194,60,4,,,G,158,NO,E,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
950,WINDOW,NO,CASE A GIARDINO APP 10 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,141,,60,2,,,G,172,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
951,WINDOW,NO,CASE A GIARDINO APP 10 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,138,,60,2,,,G,167,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
952,WINDOW,NO,CASE A GIARDINO APP 10 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,137,,60,2,,,G,175,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
953,WINDOW,NO,CASE A GIARDINO APP 10 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,135,,60,2,,,G,173,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
954,WINDOW,NO,CASE A GIARDINO APP 10 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,138,,60,2,,,G,171,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
955,WINDOW,NO,CASE A GIARDINO APP 10 2,STREET,PASSING,OPEN SPACES,OUTSIDE,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,138,,60,2,,,G,171,NO,,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,461,,,,,,,,,,,,
956,DOORWAY,NO,DOMUS  DELL'AQUILA,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,COURT,STANDING,OPEN SPACES,32.88,185,,58,3,T0956,,G,,NO,,DOMUS,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,210,T0956,60,185,15,OTHER STONE,C,0,0,0,0,NO,NO
957,DOORWAY,NO,DOMUS  DELL'AQUILA,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,16.47,LARARIUM,STANDING,PRIVATE ROOM,14.07,133,217,40,5,T0957,,G,,NO,E,DOMUS,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,210,T0957,27,133,8,MARBLE,C,0,0,0,0,NO,NO
958,DOORWAY,NO,DOMUS  DELL'AQUILA,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,16.47,CORRIDOR,PASSING,PUBLIC ROOM,16.4,159,210,45,5,T0958,,G,,NO,E,DOMUS,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,210,T0958,58,159,,MARBLE,C,0,0,2,0,NO,NO
959,DOORWAY,NO,DOMUS  DELL'AQUILA,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,19.06,CORRIDOR,PASSING,PUBLIC ROOM,16.4,127,,43,3,T0959,,G,,NO,,DOMUS,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,210,T0959,43,127,,MARBLE,C,0,0,0,0,NO,NO
960,DOORWAY,NO,DOMUS  DELL'AQUILA,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,19.06,CUBICULUM,STANDING,PRIVATE ROOM,12.63,129,192,60,3,T0960,,G,,NO,E,DOMUS,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,210,T0960,56,129,,MARBLE,C,0,0,0,0,NO,NO
961,DOORWAY,NO,DOMUS  DELL'AQUILA,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,39.83,CORRIDOR,PASSING,PUBLIC ROOM,16.4,135,,46,3,T0961,,G,,NO,,DOMUS,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,210,T0961,46,132,,LIMESTONE,A,9,0,2,0,NO,NO
962,DOORWAY,NO,DOMUS  DELL'AQUILA,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,RECEPTION ROOM,STANDING,PUBLIC ROOM,39.83,206,,53,2,,,G,,NO,,DOMUS,III-IV AD,LATE EMPIRE,OSTIA,SURVEY,210,,,,,,,,,,,,
963,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,STREET,PASSING,OPEN SPACES,OUTSIDE,,ENTRANCE,PASSING,PUBLIC ROOM,15.08,262,,60,3,T0963,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,T0963,45,262,20,LIMESTONE,C,0,0,0,0,NO,NO
964,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,ENTRANCE,PASSING,PUBLIC ROOM,15.08,260,,59,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
965,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,CUBICULUM,STANDING,PRIVATE ROOM,14.5,206,,59,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
966,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,SERVICE ROOM,STANDING,SERVICE ROOM,7.5,115,,51,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
967,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,SERVICE ROOM,STANDING,SERVICE ROOM,7.5,142,,51,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
968,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,RECEPTION ROOM,STANDING,PUBLIC ROOM,42.61,165,261,48,5,T0968,,G,,NO,G,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,T0968,48,165,14,OTHER STONE,C,0,0,0,0,NO,NO
969,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,RECEPTION ROOM,STANDING,PUBLIC ROOM,42.61,221,287,52,5,T0969,,G,,NO,G,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,T0969,52,187,14,MARBLE,C,0,0,0,0,NO,NO
970,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,RECEPTION ROOM,STANDING,PUBLIC ROOM,42.61,166,261,55,5,T0970,,G,,NO,G,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,T0970,55,166,19,MARBLE,C,0,0,0,0,NO,NO
971,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,STAIRWAY,PASSING,SERVICE ROOM,6.16,89,252,60,4,,,G,,NO,E,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
972,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,59.29,LATRINA,STANDING,SERVICE ROOM,5.36,80,,50,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
973,WINDOW,NO,DOMUS DELLA FORTUNA ANNONARIA 1,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,59.29,LATRINA,STANDING,SERVICE ROOM,5.36,17,49,40,4,,,G,,NO,A,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
974,WINDOW,NO,DOMUS DELLA FORTUNA ANNONARIA 1,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,59.29,LATRINA,STANDING,SERVICE ROOM,5.36,14,35,35,4,,,G,,NO,A,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
975,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,CUBICULUM,STANDING,PRIVATE ROOM,8.81,133,,62,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
976,WINDOW,NO,DOMUS DELLA FORTUNA ANNONARIA 1,TABERNA,STANDING,PUBLIC ROOM,OUTSIDE,9.57,CUBICULUM,STANDING,PRIVATE ROOM,8.81,88,,54,2,,,G,135,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
977,WINDOW,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,TABERNA,STANDING,PUBLIC ROOM,9.57,88,,60,2,,,G,120,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
978,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,CORRIDOR,PASSING,PUBLIC ROOM,9.01,115,206,59,5,T0978,,G,,YES,E,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,T0978,27,115,8,OTHER STONE,A,8,0,1,0,NO,NO
979,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,10.38,CORRIDOR,PASSING,PUBLIC ROOM,9.01,114,,38,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
980,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,TABERNA,STANDING,PUBLIC ROOM,OUTSIDE,19.31,CUBICULUM,STANDING,PRIVATE ROOM,10.38,88,,49,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
981,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,STREET,PASSING,OPEN SPACES,OUTSIDE,,TABERNA,STANDING,PUBLIC ROOM,19.31,125,,59,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
982,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,CORRIDOR,PASSING,PUBLIC ROOM,INSIDE,9.01,SERVICE ROOM,STANDING,SERVICE ROOM,8.33,100,186,60,4,,,G,,NO,C,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
983,WINDOW,NO,DOMUS DELLA FORTUNA ANNONARIA 1,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,20.53,SERVICE ROOM,STANDING,SERVICE ROOM,8.33,30,40,45,4,,,G,174,NO,A,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
984,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,RECEPTION ROOM,STANDING,PUBLIC ROOM,20.53,225,254,44,4,,,G,,NO,E,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
985,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,RECEPTION ROOM,STANDING,PUBLIC ROOM,48.99,302,,55,3,T0985,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,T0985,46,302,6,MARBLE,C,0,0,0,0,NO,NO
986,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,48.99,RECEPTION ROOM,STANDING,PUBLIC ROOM,20.53,116,219,45,5,T0986,,G,,NO,E,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,T0986,42,116,3,MARBLE,C,0,0,2,0,NO,NO
987,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,COURT,STANDING,OPEN SPACES,105.03,313,,65,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
988,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,COURT,STANDING,OPEN SPACES,105.03,295,,65,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
989,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,COURT,STANDING,OPEN SPACES,105.03,182,,65,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
990,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,COURT,STANDING,OPEN SPACES,105.03,170,,65,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
991,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,COURT,STANDING,OPEN SPACES,105.03,246,,65,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
992,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,COURT,STANDING,OPEN SPACES,105.03,153,,65,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
993,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,COURT,STANDING,OPEN SPACES,105.03,192,,65,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
994,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,PORTICUS,PASSING,PUBLIC ROOM,INSIDE,128.03,COURT,STANDING,OPEN SPACES,105.03,348,,65,2,,,G,,NO,,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,SURVEY,1331,,,,,,,,,,,,
