OpeningId,Type,PeculiarType,HouseId,HouseType,Date,Period,Town,BiggerAreaRoom,PassingStandingBiggerRoom,BiggerAreaRoomType,Bigger Area RoomM2,SmallerAreaRoom,PassingStandingSmallerRoom,SmallerAreaRoomType,SmallerAreaRoomM2,Width,Height,Facing,Floor,DistancefromGround,IdThresholdSill,ThresholdSillLength,ThresholdSillWidth,ThresholdSillThickness,ThresholdSillMaterial,ThresholdSillType,ThresholdSillDoorstopWidth,ThresholdSillTenonHoleNumber,ThresholdSillHingeHoleNumber,ThresholdSillBoltHoleNumber,ThresholdSillShutterErosion,ThresholdSillFoldingDoorChannel,FrameTrace,LintelType,IdLintel,LintelLength,LintelWidth,LintelThickness,LintelMaterial,LintelDoorstopWidth,LintelTenonHoleNumber,LintelHingeHoleNumber,LintelBoltHoleNumber
922,WINDOW,NO,CASE A GIARDINO APP 10 1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,138,,OUTSIDE,G,171,,,,,,,,,,,,,NO,,,,,,,,,,
923,WINDOW,NO,CASE A GIARDINO APP 10 1,MEDIANUM APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,138,,OUTSIDE,G,171,,,,,,,,,,,,,NO,,,,,,,,,,
924,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,CORRIDOR,PASSING,PUBLIC ROOM,19.54,148,249,OUTSIDE,G,,T0924,56,148,10,LIMESTONE,D,10,0,3,1,NO,NO,NO,E,,,,,,,,,
925,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,CORRIDOR,PASSING,PUBLIC ROOM,19.54,STAIRWAY,PASSING,SERVICE ROOM,6.32,118,,OUTSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
926,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,CORRIDOR,PASSING,PUBLIC ROOM,19.54,CUBICULUM,STANDING,PRIVATE ROOM,16.82,133,,INSIDE,G,,T0926,52,133,17,LIMESTONE,C,0,0,2,0,NO,NO,NO,,,,,,,,,,
927,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,16.82,UNDERSTAIRS,STANDING,SERVICE ROOM,6.32,120,,INSIDE,G,,T0927,58,120,8,LIMESTONE,C,0,0,2,0,NO,NO,NO,,,,,,,,,,
928,WINDOW,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,UNDERSTAIRS,STANDING,SERVICE ROOM,6.32,89,117,OUTSIDE,G,132,,,,,,,,,,,,,NO,E,,,,,,,,,
929,WINDOW,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,CUBICULUM,STANDING,PRIVATE ROOM,16.82,119,,OUTSIDE,G,159,,,,,,,,,,,,,NO,,,,,,,,,,
930,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,25.48,CUBICULUM,STANDING,PRIVATE ROOM,16.82,102,,INSIDE,G,,,,,,,,,,,,,,NO,A,,,,,,,,,
931,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,21.82,CORRIDOR,PASSING,PUBLIC ROOM,19.54,94,167,INSIDE,G,,,,,,,,,,,,,,NO,B,,,,,,,,,
932,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,MEDIANUM,PASSING,PUBLIC ROOM,90.73,RECEPTION ROOM,STANDING,PUBLIC ROOM,21.82,102,228,INSIDE,G,,,,,,,,,,,,,,NO,E,,,,,,,,,
933,WINDOW,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,RECEPTION ROOM,STANDING,PUBLIC ROOM,21.82,148,187,OUTSIDE,G,167,,,,,,,,,,,,,NO,E,,,,,,,,,
934,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,25.48,CORRIDOR,PASSING,PUBLIC ROOM,19.54,237,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
935,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,36.81,CUBICULUM,STANDING,PRIVATE ROOM,25.48,105,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
936,WINDOW,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,CUBICULUM,STANDING,PRIVATE ROOM,25.48,146,,OUTSIDE,G,175,,,,,,,,,,,,,NO,,,,,,,,,,
937,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,36.81,CORRIDOR,PASSING,PUBLIC ROOM,19.54,133,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
938,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,MEDIANUM,PASSING,PUBLIC ROOM,90.73,CUBICULUM,STANDING,PRIVATE ROOM,36.81,245,,INSIDE,G,,,,,,,,,,,,,,YES,,,,,,,,,,
939,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,36.99,CUBICULUM,STANDING,PRIVATE ROOM,36.81,72,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
940,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,MEDIANUM,PASSING,PUBLIC ROOM,90.73,CUBICULUM,STANDING,PRIVATE ROOM,36.99,156,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
941,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,36.99,TABERNA,STANDING,PUBLIC ROOM,36.29,148,,OUTSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
942,WINDOW,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,CUBICULUM,STANDING,PRIVATE ROOM,36.99,144,,OUTSIDE,G,175,,,,,,,,,,,,,NO,,,,,,,,,,
943,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,TABERNA,STANDING,PUBLIC ROOM,36.29,280,,OUTSIDE,G,,T0911,60,280,28,LIMESTONE,F,85,0,1,0,NO,YES,NO,,,,,,,,,,
944,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,54.42,TABERNA,STANDING,PUBLIC ROOM,36.29,116,226,OUTSIDE,G,,,,,,,,,,,,,,YES,E,,,,,,,,,
945,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,MEDIANUM,PASSING,PUBLIC ROOM,90.73,RECEPTION ROOM,STANDING,PUBLIC ROOM,54.42,117,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
946,DOORWAY,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,MEDIANUM,PASSING,PUBLIC ROOM,90.73,RECEPTION ROOM,STANDING,PUBLIC ROOM,54.42,148,212,INSIDE,G,,,,,,,,,,,,,,YES,E,,,,,,,,,
947,WINDOW,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,RECEPTION ROOM,STANDING,PUBLIC ROOM,54.42,120,194,OUTSIDE,G,158,,,,,,,,,,,,,NO,E,,,,,,,,,
948,WINDOW,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,RECEPTION ROOM,STANDING,PUBLIC ROOM,54.42,121,194,OUTSIDE,G,158,,,,,,,,,,,,,NO,E,,,,,,,,,
949,WINDOW,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,RECEPTION ROOM,STANDING,PUBLIC ROOM,54.42,114,194,OUTSIDE,G,158,,,,,,,,,,,,,NO,E,,,,,,,,,
950,WINDOW,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,141,,OUTSIDE,G,172,,,,,,,,,,,,,NO,,,,,,,,,,
951,WINDOW,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,138,,OUTSIDE,G,167,,,,,,,,,,,,,NO,,,,,,,,,,
952,WINDOW,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,137,,OUTSIDE,G,175,,,,,,,,,,,,,NO,,,,,,,,,,
953,WINDOW,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,135,,OUTSIDE,G,173,,,,,,,,,,,,,NO,,,,,,,,,,
954,WINDOW,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,138,,OUTSIDE,G,171,,,,,,,,,,,,,NO,,,,,,,,,,
955,WINDOW,NO,CASE A GIARDINO APP 10 2,MEDIANUM APARTMENT,III-IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,MEDIANUM,PASSING,PUBLIC ROOM,90.73,138,,OUTSIDE,G,171,,,,,,,,,,,,,NO,,,,,,,,,,
956,DOORWAY,NO,DOMUS  DELL'AQUILA,DOMUS,III-IV AD,LATE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,,COURT,STANDING,OPEN SPACES,32.88,185,,OUTSIDE,G,,T0956,60,185,15,OTHER STONE,C,0,0,0,0,NO,NO,NO,,,,,,,,,,
957,DOORWAY,NO,DOMUS  DELL'AQUILA,DOMUS,III-IV AD,LATE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,16.47,LARARIUM,STANDING,PRIVATE ROOM,14.07,133,217,INSIDE,G,,T0957,27,133,8,MARBLE,C,0,0,0,0,NO,NO,NO,E,,,,,,,,,
958,DOORWAY,NO,DOMUS  DELL'AQUILA,DOMUS,III-IV AD,LATE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,16.47,CORRIDOR,PASSING,PUBLIC ROOM,16.4,159,210,INSIDE,G,,T0958,58,159,,MARBLE,C,0,0,2,0,NO,NO,NO,E,,,,,,,,,
959,DOORWAY,NO,DOMUS  DELL'AQUILA,DOMUS,III-IV AD,LATE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,19.06,CORRIDOR,PASSING,PUBLIC ROOM,16.4,127,,INSIDE,G,,T0959,43,127,,MARBLE,C,0,0,0,0,NO,NO,NO,,,,,,,,,,
960,DOORWAY,NO,DOMUS  DELL'AQUILA,DOMUS,III-IV AD,LATE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,19.06,CUBICULUM,STANDING,PRIVATE ROOM,12.63,129,192,INSIDE,G,,T0960,56,129,,MARBLE,C,0,0,0,0,NO,NO,NO,E,,,,,,,,,
961,DOORWAY,NO,DOMUS  DELL'AQUILA,DOMUS,III-IV AD,LATE EMPIRE,OSTIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,39.83,CORRIDOR,PASSING,PUBLIC ROOM,16.4,135,,INSIDE,G,,T0961,46,132,,LIMESTONE,A,9,0,2,0,NO,NO,NO,,,,,,,,,,
962,DOORWAY,NO,DOMUS  DELL'AQUILA,DOMUS,III-IV AD,LATE EMPIRE,OSTIA,GARDEN,STANDING,OPEN SPACES,,RECEPTION ROOM,STANDING,PUBLIC ROOM,39.83,206,,OUTSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
963,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,ENTRANCE,PASSING,PUBLIC ROOM,15.08,262,,OUTSIDE,G,,T0963,45,262,20,LIMESTONE,C,0,0,0,0,NO,NO,NO,,,,,,,,,,
964,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,ENTRANCE,PASSING,PUBLIC ROOM,15.08,260,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
965,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,CUBICULUM,STANDING,PRIVATE ROOM,14.5,206,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
966,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,SERVICE ROOM,STANDING,SERVICE ROOM,7.5,115,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
967,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,SERVICE ROOM,STANDING,SERVICE ROOM,7.5,142,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
968,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,RECEPTION ROOM,STANDING,PUBLIC ROOM,42.61,165,261,INSIDE,G,,T0968,48,165,14,OTHER STONE,C,0,0,0,0,NO,NO,NO,G,,,,,,,,,
969,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,RECEPTION ROOM,STANDING,PUBLIC ROOM,42.61,221,287,INSIDE,G,,T0969,52,187,14,MARBLE,C,0,0,0,0,NO,NO,NO,G,,,,,,,,,
970,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,RECEPTION ROOM,STANDING,PUBLIC ROOM,42.61,166,261,INSIDE,G,,T0970,55,166,19,MARBLE,C,0,0,0,0,NO,NO,NO,G,,,,,,,,,
971,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,STAIRWAY,PASSING,SERVICE ROOM,6.16,89,252,INSIDE,G,,,,,,,,,,,,,,NO,E,,,,,,,,,
972,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,59.29,LATRINA,STANDING,SERVICE ROOM,5.36,80,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
973,WINDOW,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,59.29,LATRINA,STANDING,SERVICE ROOM,5.36,17,49,INSIDE,G,,,,,,,,,,,,,,NO,A,,,,,,,,,
974,WINDOW,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,59.29,LATRINA,STANDING,SERVICE ROOM,5.36,14,35,INSIDE,G,,,,,,,,,,,,,,NO,A,,,,,,,,,
975,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,CUBICULUM,STANDING,PRIVATE ROOM,8.81,133,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
976,WINDOW,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,TABERNA,STANDING,PUBLIC ROOM,9.57,CUBICULUM,STANDING,PRIVATE ROOM,8.81,88,,OUTSIDE,G,135,,,,,,,,,,,,,NO,,,,,,,,,,
977,WINDOW,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,TABERNA,STANDING,PUBLIC ROOM,9.57,88,,OUTSIDE,G,120,,,,,,,,,,,,,NO,,,,,,,,,,
978,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,CORRIDOR,PASSING,PUBLIC ROOM,9.01,115,206,INSIDE,G,,T0978,27,115,8,OTHER STONE,A,8,0,1,0,NO,NO,YES,E,,,,,,,,,
979,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,CUBICULUM,STANDING,PRIVATE ROOM,10.38,CORRIDOR,PASSING,PUBLIC ROOM,9.01,114,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
980,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,TABERNA,STANDING,PUBLIC ROOM,19.31,CUBICULUM,STANDING,PRIVATE ROOM,10.38,88,,OUTSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
981,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,TABERNA,STANDING,PUBLIC ROOM,19.31,125,,OUTSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
982,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,CORRIDOR,PASSING,PUBLIC ROOM,9.01,SERVICE ROOM,STANDING,SERVICE ROOM,8.33,100,186,INSIDE,G,,,,,,,,,,,,,,NO,C,,,,,,,,,
983,WINDOW,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,20.53,SERVICE ROOM,STANDING,SERVICE ROOM,8.33,30,40,INSIDE,G,174,,,,,,,,,,,,,NO,A,,,,,,,,,
984,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,RECEPTION ROOM,STANDING,PUBLIC ROOM,20.53,225,254,INSIDE,G,,,,,,,,,,,,,,NO,E,,,,,,,,,
985,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,RECEPTION ROOM,STANDING,PUBLIC ROOM,48.99,302,,INSIDE,G,,T0985,46,302,6,MARBLE,C,0,0,0,0,NO,NO,NO,,,,,,,,,,
986,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,48.99,RECEPTION ROOM,STANDING,PUBLIC ROOM,20.53,116,219,INSIDE,G,,T0986,42,116,3,MARBLE,C,0,0,2,0,NO,NO,NO,E,,,,,,,,,
987,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,COURT,STANDING,OPEN SPACES,105.03,313,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
988,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,COURT,STANDING,OPEN SPACES,105.03,295,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
989,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,COURT,STANDING,OPEN SPACES,105.03,182,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
990,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,COURT,STANDING,OPEN SPACES,105.03,170,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
991,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,COURT,STANDING,OPEN SPACES,105.03,246,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
992,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,COURT,STANDING,OPEN SPACES,105.03,153,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
993,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,COURT,STANDING,OPEN SPACES,105.03,192,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
994,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,COURT,STANDING,OPEN SPACES,105.03,348,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
995,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,COURT,STANDING,OPEN SPACES,105.03,352,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
996,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,59.29,TABERNA,STANDING,PUBLIC ROOM,51.94,68,,OUTSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
997,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,TABERNA,STANDING,PUBLIC ROOM,51.94,147,,OUTSIDE,G,,T0997,59,147,,LIMESTONE,D,13,0,2,0,NO,NO,NO,,,,,,,,,,
998,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,TABERNA,STANDING,PUBLIC ROOM,51.94,259,,OUTSIDE,G,,T0998,36,259,24,LIMESTONE,F,11,0,1,0,NO,YES,NO,,,,,,,,,,
999,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,TABERNA,STANDING,PUBLIC ROOM,51.94,208,,OUTSIDE,G,,T0999,47,208,30,LIMESTONE,F,95,0,0,0,NO,YES,NO,,,,,,,,,,
1000,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,TABERNA,STANDING,PUBLIC ROOM,51.94,TABERNA,STANDING,PUBLIC ROOM,32.76,120,,OUTSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
1001,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 1,DOMUS,II-III AD,MIDDLE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,TABERNA,STANDING,PUBLIC ROOM,32.76,322,,OUTSIDE,G,,T1001,42,322,25,LIMESTONE,F,10,0,1,0,NO,YES,NO,,,,,,,,,,
1002,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 2,DOMUS,IV AD,LATE EMPIRE,OSTIA,STREET,PASSING,OPEN SPACES,,ENTRANCE,PASSING,PUBLIC ROOM,15.08,262,,OUTSIDE,G,,T1002,45,262,20,LIMESTONE,C,0,0,0,0,NO,NO,NO,,,,,,,,,,
1003,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 2,DOMUS,IV AD,LATE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,ENTRANCE,PASSING,PUBLIC ROOM,15.08,260,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
1004,DOORWAY,NO,DOMUS DELLA FORTUNA ANNONARIA 2,DOMUS,IV AD,LATE EMPIRE,OSTIA,PORTICUS,PASSING,PUBLIC ROOM,128.03,CUBICULUM,STANDING,PRIVATE ROOM,12.77,109,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
